t,x,y,z,qw,qx,qy,qz,q0
24.2,-0.000128,-10.0003,0,0.998415,0,0,0.056275,0.201665
24.3,-0.000155,-9.99962,0,0.99672,0,0,0.08093,0.290855
24.4,-0.000175,-9.998959,0,0.995073,0,0,0.099145,0.356753
24.5,-0.000186,-9.998535,0,0.994023,0,0,0.10917,0.392983
24.6,-0.000184,-9.998491,0,0.99393,0,0,0.110015,0.39591
24.7,-0.000169,-9.998846,0,0.99483,0,0,0.101551,0.365066
24.8,-0.000142,-9.999478,0,0.996418,0,0,0.084561,0.303355
24.9,-0.000107,-10.00018,0,0.998156,0,0,0.060696,0.21683
25,-0.00007,-10.00071,0,0.999478,0,0,0.032319,0.114093
25.1,-0.000034,-10.00091,0,0.999997,0,0,0.002256,0.00536
25.2,-0.000004,-10.00077,0,0.999648,0,0,-0.02652,-0.098669
25.3,0.00002,-10.00037,0,0.998688,0,0,-0.051203,-0.187888
25.4,0.000036,-9.999923,0,0.997588,0,0,-0.069414,-0.253703
25.5,0.000042,-9.999612,0,0.996843,0,0,-0.079398,-0.289744
25.6,0.000038,-9.999578,0,0.996781,0,0,-0.080171,-0.292422
25.7,0.000022,-9.999833,0,0.997432,0,0,-0.071623,-0.261339
25.8,-0.000004,-10.00027,0,0.998511,0,0,-0.054562,-0.199465
25.9,-0.000036,-10.00069,0,0.99953,0,0,-0.030657,-0.112891
26,-0.000071,-10.00089,0,0.999997,0,0,-0.002279,-0.010217
26.1,-0.000105,-10.00075,0,0.999615,0,0,0.027753,0.098393
26.2,-0.000136,-10.00027,0,0.998403,0,0,0.056488,0.202312
26.3,-0.000164,-9.999591,0,0.996703,0,0,0.081143,0.291502
26.4,-0.000184,-9.998929,0,0.995052,0,0,0.099357,0.357401
26.5,-0.000195,-9.998505,0,0.994,0,0,0.109383,0.393633
26.6,-0.000193,-9.99846,0,0.993906,0,0,0.110229,0.396561
26.7,-0.000178,-9.998815,0,0.994809,0,0,0.101764,0.365719
26.8,-0.000151,-9.999447,0,0.9964,0,0,0.084775,0.304009
26.9,-0.000116,-10.00014,0,0.998143,0,0,0.060911,0.217484
27,-0.000079,-10.00068,0,0.999471,0,0,0.032534,0.114748
27.1,-0.000043,-10.00089,0,0.999997,0,0,0.002471,0.006014
27.2,-0.000013,-10.00074,0,0.999654,0,0,-0.026306,-0.098016
27.3,0.000011,-10.00035,0,0.998699,0,0,-0.050989,-0.187235
27.4,0.000026,-9.999896,0,0.997603,0,0,-0.0692,-0.25305
27.5,0.000033,-9.999585,0,0.99686,0,0,-0.079184,-0.28909
27.6,0.000028,-9.99955,0,0.996798,0,0,-0.079957,-0.291767
27.7,0.000013,-9.999805,0,0.997447,0,0,-0.071409,-0.260683
27.8,-0.000013,-10.00024,0,0.998522,0,0,-0.054347,-0.198808
27.9,-0.000045,-10.00066,0,0.999537,0,0,-0.030442,-0.112234
28,-0.00008,-10.00085,0,0.999998,0,0,-0.002065,-0.00956
28.1,-0.000114,-10.00071,0,0.999609,0,0,0.027967,0.099049
28.2,-0.000146,-10.00023,0,0.998391,0,0,0.056702,0.202968
28.3,-0.000173,-9.999546,0,0.996685,0,0,0.081357,0.292158
28.4,-0.000193,-9.998883,0,0.99503,0,0,0.099571,0.358058
28.5,-0.000204,-9.998457,0,0.993976,0,0,0.109597,0.394291
28.6,-0.000203,-9.998412,0,0.993882,0,0,0.110443,0.397221
28.7,-0.000187,-9.998767,0,0.994787,0,0,0.10198,0.36638
28.8,-0.00016,-9.9994,0,0.996382,0,0,0.084991,0.304672
28.9,-0.000125,-10.0001,0,0.99813,0,0,0.061127,0.218147
29,-0.000088,-10.00063,0,0.999464,0,0,0.03275,0.11541
29.1,-0.000053,-10.00084,0,0.999996,0,0,0.002687,0.006675
29.2,-0.000022,-10.0007,0,0.99966,0,0,-0.02609,-0.097354
29.3,0.000001,-10.00031,0,0.99871,0,0,-0.050774,-0.186574
29.4,0.000017,-9.999857,0,0.997618,0,0,-0.068985,-0.252388
29.5,0.000024,-9.999546,0,0.996877,0,0,-0.078969,-0.288428
29.6,0.000019,-9.999511,0,0.996816,0,0,-0.079742,-0.291103
29.7,0.000003,-9.999766,0,0.997463,0,0,-0.071193,-0.260018
29.8,-0.000023,-10.0002,0,0.998534,0,0,-0.054131,-0.198142
29.9,-0.000055,-10.00061,0,0.999543,0,0,-0.030225,-0.111568
30,-0.00009,-10.00081,0,0.999998,0,0,-0.001848,-0.008895
30.1,-0.000124,-10.00066,0,0.999603,0,0,0.028183,0.099714
30.2,-0.000155,-10.00018,0,0.998379,0,0,0.056918,0.203631
30.3,-0.000182,-9.999493,0,0.996667,0,0,0.081572,0.292821
30.4,-0.000203,-9.998826,0,0.995009,0,0,0.099786,0.358722
30.5,-0.000214,-9.998399,0,0.993952,0,0,0.109813,0.394956
30.6,-0.000212,-9.998354,0,0.993859,0,0,0.110659,0.397888
30.7,-0.000197,-9.998709,0,0.994764,0,0,0.102196,0.36705
30.8,-0.00017,-9.999345,0,0.996363,0,0,0.085208,0.305343
30.9,-0.000135,-10.00004,0,0.998117,0,0,0.061344,0.218818
31,-0.000098,-10.00058,0,0.999457,0,0,0.032967,0.116081
31.1,-0.000062,-10.0008,0,0.999996,0,0,0.002904,0.007345
31.2,-0.000032,-10.00066,0,0.999665,0,0,-0.025873,-0.096685
31.3,-0.000009,-10.00026,0,0.998721,0,0,-0.050557,-0.185905
31.4,0.000007,-9.999813,0,0.997633,0,0,-0.068768,-0.251719
31.5,0.000014,-9.999502,0,0.996894,0,0,-0.078752,-0.287757
31.6,0.000009,-9.999467,0,0.996833,0,0,-0.079524,-0.290432
31.7,-0.000007,-9.999721,0,0.997478,0,0,-0.070975,-0.259345
31.8,-0.000033,-10.00015,0,0.998546,0,0,-0.053913,-0.197468
31.9,-0.000065,-10.00056,0,0.99955,0,0,-0.030007,-0.110894
32,-0.000099,-10.00075,0,0.999999,0,0,-0.00163,-0.008222
32.1,-0.000134,-10.0006,0,0.999597,0,0,0.028402,0.100386
32.2,-0.000165,-10.00012,0,0.998366,0,0,0.057135,0.204303
32.3,-0.000192,-9.999431,0,0.99665,0,0,0.08179,0.293493
32.4,-0.000213,-9.998762,0,0.994987,0,0,0.100004,0.359395
32.5,-0.000224,-9.998332,0,0.993928,0,0,0.110031,0.39563
32.6,-0.000222,-9.998286,0,0.993834,0,0,0.110878,0.398564
32.7,-0.000207,-9.998642,0,0.994742,0,0,0.102415,0.367727
32.8,-0.00018,-9.999278,0,0.996344,0,0,0.085428,0.306022
32.9,-0.000145,-9.999979,0,0.998103,0,0,0.061564,0.219498
33,-0.000108,-10.00052,0,0.999449,0,0,0.033188,0.11676
33.1,-0.000072,-10.00073,0,0.999995,0,0,0.003124,0.008024
33.2,-0.000042,-10.00059,0,0.999671,0,0,-0.025654,-0.096007
33.3,-0.000019,-10.00021,0,0.998732,0,0,-0.050338,-0.185228
33.4,-0.000003,-9.999755,0,0.997648,0,0,-0.068549,-0.251041
33.5,0.000003,-9.999446,0,0.996912,0,0,-0.078533,-0.287079
33.6,-0.000001,-9.999411,0,0.996851,0,0,-0.079305,-0.289751
33.7,-0.000017,-9.999664,0,0.997494,0,0,-0.070755,-0.258664
33.8,-0.000043,-10.00009,0,0.998558,0,0,-0.053692,-0.196786
33.9,-0.000075,-10.00051,0,0.999556,0,0,-0.029786,-0.110212
34,-0.00011,-10.0007,0,0.999999,0,0,-0.001409,-0.00754
34.1,-0.000144,-10.00054,0,0.99959,0,0,0.028622,0.101067
34.2,-0.000175,-10.00006,0,0.998354,0,0,0.057355,0.204984
34.3,-0.000203,-9.999368,0,0.996632,0,0,0.082009,0.294173
34.4,-0.000224,-9.998698,0,0.994965,0,0,0.100224,0.360076
34.5,-0.000235,-9.998266,0,0.993904,0,0,0.11025,0.396313
34.6,-0.000233,-9.99822,0,0.99381,0,0,0.111098,0.399249
34.7,-0.000218,-9.998576,0,0.994719,0,0,0.102636,0.368414
34.8,-0.000191,-9.999213,0,0.996325,0,0,0.085649,0.306709
34.9,-0.000156,-9.999916,0,0.99809,0,0,0.061786,0.220186
35,-0.000118,-10.00046,0,0.999442,0,0,0.033409,0.117448
35.1,-0.000083,-10.00067,0,0.999995,0,0,0.003345,0.008711
35.2,-0.000053,-10.00054,0,0.999677,0,0,-0.025432,-0.095321
35.3,-0.000029,-10.00015,0,0.998743,0,0,-0.050117,-0.184542
35.4,-0.000013,-9.9997,0,0.997663,0,0,-0.068328,-0.250355
35.5,-0.000007,-9.999391,0,0.996929,0,0,-0.078312,-0.286391
35.6,-0.000012,-9.999354,0,0.996868,0,0,-0.079083,-0.289063
35.7,-0.000028,-9.999607,0,0.99751,0,0,-0.070533,-0.257974
35.8,-0.000053,-10.00003,0,0.99857,0,0,-0.05347,-0.196095
35.9,-0.000085,-10.00044,0,0.999563,0,0,-0.029564,-0.109521
36,-0.00012,-10.00063,0,0.999999,0,0,-0.001187,-0.006849
36.1,-0.000154,-10.00047,0,0.999584,0,0,0.028844,0.101757
36.2,-0.000186,-9.999981,0,0.998341,0,0,0.057577,0.205673
36.3,-0.000213,-9.99929,0,0.996613,0,0,0.082231,0.294862
36.4,-0.000234,-9.998619,0,0.994943,0,0,0.100445,0.360765
36.5,-0.000246,-9.998187,0,0.993879,0,0,0.110472,0.397004
36.6,-0.000244,-9.99814,0,0.993785,0,0,0.11132,0.399942
36.7,-0.000229,-9.998496,0,0.994696,0,0,0.102859,0.369109
36.8,-0.000201,-9.999135,0,0.996306,0,0,0.085873,0.307405
36.9,-0.000167,-9.999841,0,0.998076,0,0,0.06201,0.220883
37,-0.000129,-10.00038,0,0.999434,0,0,0.033633,0.118145
37.1,-0.000094,-10.0006,0,0.999994,0,0,0.003569,0.009407
37.2,-0.000063,-10.00046,0,0.999682,0,0,-0.025209,-0.094626
