t,x,y,z,qw,qx,qy,qz,q0,q1
19.9,-0.001289,-9.957257,0,0.997832,0,0,-0.065816,-0.155982,-0.079628
20,0.001059,-9.957663,0,0.999748,0,0,-0.022444,-0.05262,-0.057299
20.1,0.003078,-9.957352,0,0.999766,0,0,0.021634,0.058957,-0.053211
20.2,0.004553,-9.956368,0,0.998073,0,0,0.062059,0.167798,-0.067782
20.3,0.005339,-9.954962,0,0.995485,0,0,0.094921,0.263416,-0.099655
20.4,0.005374,-9.953485,0,0.993121,0,0,0.117089,0.336647,-0.14582
20.5,0.004671,-9.952266,0,0.991974,0,0,0.126444,0.38037,-0.201804
20.6,0.0033,-9.951503,0,0.992525,0,0,0.122039,0.390158,-0.262077
20.7,0.001388,-9.951191,0,0.99455,0,0,0.104262,0.364877,-0.320627
20.8,-0.000886,-9.951142,0,0.997195,0,0,0.074853,0.306924,-0.371593
20.9,-0.003298,-9.951066,0,0.999325,0,0,0.036736,0.222043,-0.409944
21,-0.005599,-9.9507,0,0.99998,0,0,-0.006292,0.118725,-0.432007
21.1,-0.007548,-9.949925,0,0.99875,0,0,-0.049986,0.007222,-0.43579
21.2,-0.008945,-9.94883,0,0.995931,0,0,-0.09012,-0.1016,-0.421087
21.3,-0.009659,-9.947659,0,0.992421,0,0,-0.122882,-0.197318,-0.389395
21.4,-0.009641,-9.946742,0,0.989408,0,0,-0.145162,-0.27079,-0.343739
21.5,-0.008909,-9.946356,0,0.987949,0,0,-0.154783,-0.31486,-0.28848
21.6,-0.007528,-9.94662,0,0.988582,0,0,-0.150682,-0.325025,-0.228954
21.7,-0.005614,-9.947435,0,0.9911,0,0,-0.133118,-0.300069,-0.170987
21.8,-0.003333,-9.948503,0,0.994605,0,0,-0.103734,-0.242323,-0.120306
21.9,-0.000896,-9.949417,0,0.997858,0,0,-0.065425,-0.157507,-0.081917
22,0.001455,-9.949808,0,0.999757,0,0,-0.022045,-0.054142,-0.059584
22.1,0.003475,-9.949483,0,0.999757,0,0,0.02204,0.05744,-0.055491
22.2,0.00495,-9.948484,0,0.998047,0,0,0.062471,0.166285,-0.070055
22.3,0.005735,-9.947062,0,0.995445,0,0,0.095336,0.261904,-0.101923
22.4,0.005769,-9.945566,0,0.993072,0,0,0.117505,0.335132,-0.148085
22.5,0.005065,-9.944326,0,0.991921,0,0,0.126861,0.378849,-0.204067
22.6,0.003694,-9.943538,0,0.992474,0,0,0.122458,0.388628,-0.26434
22.7,0.001782,-9.943198,0,0.994505,0,0,0.104686,0.363339,-0.322891
22.8,-0.000491,-9.943121,0,0.997162,0,0,0.075283,0.30538,-0.373858
22.9,-0.002901,-9.943016,0,0.999309,0,0,0.037173,0.220496,-0.41221
23,-0.005201,-9.94262,0,0.999983,0,0,-0.005848,0.117178,-0.434276
23.1,-0.00715,-9.941817,0,0.998772,0,0,-0.049536,0.005677,-0.438063
23.2,-0.008547,-9.940693,0,0.995972,0,0,-0.089668,-0.103143,-0.423366
23.3,-0.009262,-9.939498,0,0.992477,0,0,-0.12243,-0.198863,-0.391683
23.4,-0.009244,-9.938558,0,0.989474,0,0,-0.144713,-0.27234,-0.346037
